customer_id,name,email
CUST0001,Customer 1,customer1@example.com
CUST0002,Customer 2,customer2@example.com
CUST0003,Customer 3,customer3@example.com
CUST0004,Customer 4,customer4@example.com
CUST0005,Customer 5,customer5@example.com
CUST0006,Customer 6,customer6@example.com
CUST0007,Customer 7,customer7@example.com
CUST0008,Customer 8,customer8@example.com
CUST0009,Customer 9,customer9@example.com
CUST0010,Customer 10,customer10@example.com
CUST0011,Customer 11,customer11@example.com
CUST0012,Customer 12,customer12@example.com
CUST0013,Customer 13,customer13@example.com
CUST0014,Customer 14,customer14@example.com
CUST0015,Customer 15,customer15@example.com
CUST0016,Customer 16,customer16@example.com
CUST0017,Customer 17,customer17@example.com
CUST0018,Customer 18,customer18@example.com
CUST0019,Customer 19,customer19@example.com
CUST0020,Customer 20,customer20@example.com
CUST0021,Customer 21,customer21@example.com
CUST0022,Customer 22,customer22@example.com
CUST0023,Customer 23,customer23@example.com
CUST0024,Customer 24,customer24@example.com
CUST0025,Customer 25,customer25@example.com
CUST0026,Customer 26,customer26@example.com
CUST0027,Customer 27,customer27@example.com
CUST0028,Customer 28,customer28@example.com
CUST0029,Customer 29,customer29@example.com
CUST0030,Customer 30,customer30@example.com
CUST0031,Customer 31,customer31@example.com
CUST0032,Customer 32,customer32@example.com
CUST0033,Customer 33,customer33@example.com
CUST0034,Customer 34,customer34@example.com
CUST0035,Customer 35,customer35@example.com
CUST0036,Customer 36,customer36@example.com
CUST0037,Customer 37,customer37@example.com
CUST0038,Customer 38,customer38@example.com
CUST0039,Customer 39,customer39@example.com
CUST0040,Customer 40,customer40@example.com
CUST0041,Customer 41,customer41@example.com
CUST0042,Customer 42,customer42@example.com
CUST0043,Customer 43,customer43@example.com
CUST0044,Customer 44,customer44@example.com
CUST0045,Customer 45,customer45@example.com
CUST0046,Customer 46,customer46@example.com
CUST0047,Customer 47,customer47@example.com
CUST0048,Customer 48,customer48@example.com
CUST0049,Customer 49,customer49@example.com
CUST0050,Customer 50,customer50@example.com
CUST0051,Customer 51,customer51@example.com
CUST0052,Customer 52,customer52@example.com
CUST0053,Customer 53,customer53@example.com
CUST0054,Customer 54,customer54@example.com
CUST0055,Customer 55,customer55@example.com
CUST0056,Customer 56,customer56@example.com
CUST0057,Customer 57,customer57@example.com
CUST0058,Customer 58,customer58@example.com
CUST0059,Customer 59,customer59@example.com
CUST0060,Customer 60,customer60@example.com
CUST0061,Customer 61,customer61@example.com
CUST0062,Customer 62,customer62@example.com
CUST0063,Customer 63,customer63@example.com
CUST0064,Customer 64,customer64@example.com
CUST0065,Customer 65,customer65@example.com
CUST0066,Customer 66,customer66@example.com
CUST0067,Customer 67,customer67@example.com
CUST0068,Customer 68,customer68@example.com
CUST0069,Customer 69,customer69@example.com
CUST0070,Customer 70,customer70@example.com
CUST0071,Customer 71,customer71@example.com
CUST0072,Customer 72,customer72@example.com
CUST0073,Customer 73,customer73@example.com
CUST0074,Customer 74,customer74@example.com
CUST0075,Customer 75,customer75@example.com
CUST0076,Customer 76,customer76@example.com
CUST0077,Customer 77,customer77@example.com
CUST0078,Customer 78,customer78@example.com
CUST0079,Customer 79,customer79@example.com
CUST0080,Customer 80,customer80@example.com
CUST0081,Customer 81,customer81@example.com
CUST0082,Customer 82,customer82@example.com
CUST0083,Customer 83,customer83@example.com
CUST0084,Customer 84,customer84@example.com
CUST0085,Customer 85,customer85@example.com
CUST0086,Customer 86,customer86@example.com
CUST0087,Customer 87,customer87@example.com
CUST0088,Customer 88,customer88@example.com
CUST0089,Customer 89,customer89@example.com
CUST0090,Customer 90,customer90@example.com
CUST0091,Customer 91,customer91@example.com
CUST0092,Customer 92,customer92@example.com
CUST0093,Customer 93,customer93@example.com
CUST0094,Customer 94,customer94@example.com
CUST0095,Customer 95,customer95@example.com
CUST0096,Customer 96,customer96@example.com
CUST0097,Customer 97,customer97@example.com
CUST0098,Customer 98,customer98@example.com
CUST0099,Customer 99,customer99@example.com
CUST0100,Customer 100,customer100@example.com
